Tweet,Sentiment
Primitive Collections - How to cook crab with coca cola?: https://t.co/gBZsEXH6dL via @YouTube,neutral
"For example, in Coca Cola elements such as the red color and its font are irremovable, while the shape of the bottl https://t.co/wl0OMKvaVS",neutral
Coca Cola Limited Edition 2005 Corvette Carrier Truck Toy Hauler New in Box https://t.co/APBUR84hgM https://t.co/92ZGRKsItJ,neutral
"This past cycle Bold PAC took in $11,096,964. Their funding comes from Coca-Cola, KPMG, Visa Card, Toyota, Primeric https://t.co/8vQo35rfxo",neutral
"Loss Control Officer Jobs at Coca-Cola Tanzania 
Read more &gt;&gt;&gt;&gt; https://t.co/Fa60kbkh2v",neutral
"@Ke_Neo_M @Humbled_Kgalie Let me assist you, watch &amp; apply the learning

When sugar diabetes sky rocketed WHO sat d https://t.co/QuBZ763Pyd",neutral
@Mike_Matei I actually stopped drink Coca Cola and all other sodas for that matter 10 months ago. But yeah that looks epic either way!,negative
"So me with my breakouts and my hairy fanta coca cola body (ask my mom, all the places people don't see are black as https://t.co/dHMEL8WufH",negative
People shouldnt have to die because of a lack of infrastructure that could make access to healthcare easier. Thank https://t.co/YgaMjQ5naT,negative
"I just liked Coca Cola ""Burp"" on #Vimeo: https://t.co/rbakZxJC53",neutral
Global companies call on Scottish Parliament for climate change 'leadership' https://t.co/19mKAG273H,neutral
Coca-Cola Amatil Limited (CCL) Dips -2.51% on Jan 15 - https://t.co/LbLWA89pFE,neutral
I liked a @YouTube video https://t.co/mHCGDJiZ2n Coca Cola Tu Tony Kakkar BY SONGS 4U,neutral
"One example of an historical brand and how they create their identity, as the one we did in class (Coca-Cola):   
( https://t.co/fMPNpR0z3m",neutral
Have a face vomiting Coca-Cola https://t.co/8ojbV4pdbC,neutral
Theres rewarding refreshment in every Coca-Cola beverage. Come see all the ways you can earn exciting perks today!  https://t.co/z1RCeEFZhP,positive
People shouldnt have to die because of a lack of infrastructure that could make access to healthcare easier. Thank https://t.co/gYwt5N3Ggd,negative
I added a video to a @YouTube playlist https://t.co/5fEVyfc8Pk The Secret Behind Coca-Cola Marketing Strategy,neutral
More corporates need to join forces to mitigate the water crisis in Cape Town! Well done to The Coca-Cola Foundatio https://t.co/iiATn7TH1r,neutral
A pepsi bottle a coca cola glass   i dont give a damnn https://t.co/jg3FJUzZV1,neutral
@Waletico @Koboko_GCFR What will you na call Coca Cola and Mercedes Benz?,neutral
