id,Tweet,likes,retweet,hashtags,Sentiment
1085082745682960384,Samsung unveils 219-inch TV called The Wall and it's seriously impressive https://t.co/oNxSQ3aMs4,671,101,samsung,neutral
1085359358983077889,what the samsung??? wtf is going on https://t.co/tg3XX8sJ9q,2828,111,samsung,neutral
1085421025637019648,"A big OTA update on the Samsung Galaxy Note 9 looks like the official release with One UI interface.

Guys I did no https://t.co/RfCPd8etJt",1529,70,samsung,positive
1085378608485543944,"Just a random idea!

#Samsung should Tie-up with #Tseries &amp; launch a Samsung T-Series Lineup. 
Win-Win for both! https://t.co/EuX8K8G08T",837,82,samsung,positive
1085226087276298240,"Lenovo Z5 Pro GT: Snapdragon 855 for $400

It looks like Lenovo will beat Samsung to the Snapdragon 855 (Updated). https://t.co/6tspQpKeSn",276,49,samsung,neutral
1085564257431887872,"#GalaxyMSeries is making headlines and how! 
Heres what Bharat Nagpal has to say about the latest from Samsung.
Wa https://t.co/ARasi3k9qK",264,38,samsung,neutral
1085200405204656128,"Samsung will launch Galaxy M, its first notched phone, in India on January 28.
Read more: https://t.co/SvFDCXj7Ao https://t.co/NxWikhvcpa",218,34,samsung,neutral
1085120490879045632,"We love what @RajivMakhni has to say about the new Samsung #GalaxyMSeries.  
Want to be the first one to get your h https://t.co/vbN9s4Qaeg",388,47,samsung,positive
1085046420548317184,".@Samsung's 219 in. Micro LED TV puts the 'big"" in big screen. #CES2019 https://t.co/iwpuH7Wl51",41,19,samsung,neutral
1083477330855686145,Samsung unveils massive 219-inch TV called The Wall https://t.co/31GtajodPL #10TV https://t.co/IhDhTOdEf1,21762,7188,samsung,neutral
1085453041162014720,Samsung New M Series Launching in India What To Expect https://t.co/WU9K5Z1EPA @YouTubeIndia,635,38,samsung,neutral
1083536113392852992,"UPDATE: 30 advertisers have dropped Tucker Carlson:

Pacific Life
Nerd Wallet
Bowflex
Indeed
Smile Direct
Minted
Ta https://t.co/9cChp1qVIo",21920,5454,samsung,neutral
1084957615984177157,"You could be 1 of 3 lucky people jetting off to the next global Samsung event! 

All you need to do is show your https://t.co/d8TchQ8C3e",102,56,samsung,positive
1085627967865344002,.@SamsungTV Developed A Giant 219-Inch TV Called 'The Wall' And It's Insane https://t.co/NZAUAqBAVs,98,22,samsung,neutral
1085544499026239488,"The Galaxy S10's in-display fingerprint sensor apparently won't work with screen protectors 
 https://t.co/Dt5wgFyFpP",170,30,samsung,neutral
