Tweet,Sentiment
"Forgot to post it here !
I've made the #drawthisinyourstyle of @Red_Masca . Jet Jina in Pixel art ! 
#redmonkeymask https://t.co/MXWEmOpsVD",neutral
@MsChnandlrBong @Dursley_R_l It's not THAT bad. Nothing is as bas as twix.,negative
@AbbyUpao u ate my twix,neutral
NEW MIX. ITS THE FIX. SNAPS LIKE A TWIX. https://t.co/aWFRRqKKgI WEETABIX!!!!!!,neutral
Twix Gingerbread 46g This delicious treat is sure to satisfy! These Twix chocolate bars are a combination of smooth https://t.co/BIP18dKXuv,positive
Twix Gingerbread 46g https://t.co/5bacaWq0UE,neutral
"So I finally purchased an Air Fryer. I'm going to fry everything. Fried hard boiled eggs, peanut butter jelly sandw https://t.co/mHTuNN1hxH",neutral
"I got home from work last night and had chocolate covered strawberries, a bag of Twix, a big fluffy stuffed animal, https://t.co/Ty9IOPUg8l",neutral
"@Skinny_fatbloke Sat on a 730am train next to man eating a cheese and onion pasty, Twix,  jumbo pepperami stick and a coke. In that order",neutral
@Tweek_Twix You are a grand fou and I love that ,positive
@yannaptrcio  twix!!! https://t.co/FClizvwPqr,neutral
@iSnellsyy @SquirtleAUS @loganlittlenuts Play me and @vsnz ?,neutral
I've drawn @xavoto_fox #drawing #gift #marker https://t.co/GdDxnRA3Mo,neutral
@Twix_m8 @Vsnz_ Need to get 1 $5 bo5?,neutral
@Gassman__ @SquirtleAUS Play me and @Vsnz_ ?,neutral
"DARK GANACHE CHOCOLATE LOADED CAKE!!!
.
For all the chocoholics out there..
# chocolate #chcocolatecake #cake https://t.co/NIItyXaxZf",positive
@Twix_m8 @JakeyyyM @Vsnz_ Versing Criv n co play after,neutral
@theadambrooksy Twix is sick. Better than Mars I reckon,negative
@danielpholt @Hayley1408 @travisFTN My vote is for celebrations. The only time I'll eat snickers and twix and enjoy them.,positive
@Big_Rig_PW Twix ,neutral
@tchph_seunghee THANK YOU SA TWIX,positive
@Vsnz_ @Twix_m8 can you get 1 more?,neutral
"Your psychic radar is tingling today, yet you might not immedi... More for Pisces https://t.co/EE0KOrWdUe",neutral
"@GamerMikeH I prefer some mars, or twix, or kitkat ",neutral
@Twix_m8 i am so bad its unreal,negative
@vadztweets2much Hows cs treatin ya,neutral
@Twix_m8 ur a grinder holy shit,negative
Noodles followed by a mars bar and a twix all served with orange juice (with bits because Im satanic) - oh how I l https://t.co/0QReFOS2Zv,positive
Me making the healthy choice in life and not adding sugar to my coffee before eating a twix,negative
twix,neutral
"Twix is a hassle, but I miss her when shes not here ",negative
"yea i love you- i mean i love twix, twas pretty smooth thoo",positive
@_sg99_ Tabomm,neutral
"Add healthy, cheap options alongside these. Those wanting to ban them will never know how restorative a 4am Diet Co https://t.co/qbkQDg2WlZ",neutral
"@talkSPORT He also stole a Twix from the school tuck shop aged 11 and he currently has an overdue library book. 

FFS....",neutral
"twix, oh u made my day taste right ",positive
@PamelaHorton13  this is Twix! Trix is a bit shy she isn't used to the camera haha. https://t.co/g8ARoiGFm0,neutral
Twix Caramel Cookie 100-Calorie Bar 24-Pack for $8 + free shipping - https://t.co/Ic0sIRt7tz,neutral
Twix white choc is soooooo ,neutral
@BlueberryTwix TWIX,neutral
@lensburymembers Worst off is that they shut the local police station and moved it to Twix.,negative
I eat Twix ice cream everyday at work thats the only way I survive Amazon.,positive
@averagejoeig @Crix_Twix @Kool92824913 @Large_Professor @CydMadeIt This is probably about as perfect as a top 10 rappers list can get,neutral
"@Brian_Mayniac I- twix... 
they really said fuck I want to break free rights https://t.co/feMwtV81OY",neutral
@miss_photos It was such a lovely day!!! But sadly cant remember the dogs name  I do miss Twix and the nice pubs!! Xxx,positive
IF THERE ARE TWO LEFT TWIX IN A WRAPPER THEN WOULDNT ONE OF THEM BE A RIGHT TWIX AMERICA EXPLAIN,neutral
Good Morning lovelies! On the counter today are these Twix bars - theyre #glutenfree AND refined sugar free. The https://t.co/7JmM2yAyJG,positive
"If youre left Twix, un add me.",neutral
Bruh Right Twix is better. Its not the same thing.,negative
@killfoood I'm thinking about twix right now,neutral
@Twix_Twice_ Instagram,neutral
"If someone wrote a biography about you, what do you think the title should be?  The boring life of Twix. https://t.co/maKyQIfwLX",negative
"@twix if you could label which twix are in the multi packs, that would be great so I don't accidentally buy left twix.",negative
I wish i had a Twix rn ,negative
maybe @twix can chime in &amp; do the country a solid so this man can at least chew it over with twix ... he'll be easi https://t.co/XZQmmHShTf,positive
Hey news media: please do one of these about 6 twix bars.,neutral
"@keester76 @EilidhPinkChic Nah. We share a Twix at the football most weeks. Its very romantic!
#marriedforthreedecades",positive
LDH dance to twix??? where? where? where? https://t.co/eq3JuTlTNi,neutral
"@EilidhPinkChic @Trisha_the_doc True, though a single finger Twix is the greatest disappointment of all.",negative
@swiftsmidnights @StacieMarie0903 Hehe I think Im naming him Twix,neutral
